"nuts2_code","year","fertility","density","poverty","tertiary_educ"
"ITI4",2019,1.18,343,24.1,26.3
"LT01",2017,1.49406,85.5,23.1,53.3
"LT01",2018,1.48992,85.8,22.2,54.7
"LT01",2019,1.35689,86.6,20.2,55.9
"LT02",2017,1.59857,38,32.4,34.7
"LT02",2018,1.54059,37.5,31.1,36
"LT02",2019,1.46291,37.2,27.6,37.6
"NL11",2017,1.45,247.1,21.8,36
"NL11",2018,1.39,247.2,22.1,36.2
"NL11",2019,1.41,247.9,23.9,37.9
"NL12",2017,1.77,190.5,17.7,29
"NL12",2018,1.71,190.6,16.3,31.8
"NL12",2019,1.75,191,16.5,33.3
"NL13",2017,1.77,184.2,16.8,28.6
"NL13",2018,1.68,184.3,14.8,31.1
"NL13",2019,1.73,184.5,14.7,33.8
"NL21",2017,1.72,341.9,16.4,34.2
"NL21",2018,1.69,343.2,15.7,33.4
"NL21",2019,1.68,344.9,15.6,34.3
"NL22",2017,1.7,410.8,15.2,34.3
"NL22",2018,1.66,413.2,15.2,35.3
"NL22",2019,1.65,415.8,14.6,37.7
"NL23",2017,1.72,285.5,17.4,33
"NL23",2018,1.78,288.6,15.6,30.2
"NL23",2019,1.77,292.5,16.2,32.4
"NL31",2017,1.68,918.1,14.9,48.8
"NL31",2018,1.63,926.1,13.5,51.2
"NL31",2019,1.62,934.6,15.1,52.7
"NL32",2017,1.52,1024.5,16.7,44.4
"NL32",2018,1.49,1032.4,17.2,45.4
"NL32",2019,1.46,1041.2,17,48.5
"NL33",2017,1.64,1271,19.3,37.6
"NL33",2018,1.61,1281.2,19.6,38.9
"NL33",2019,1.6,1292.2,19.4,40.8
"NL34",2017,1.76,211.8,12.7,27.8
"NL34",2018,1.72,212.2,14,29.1
"NL34",2019,1.73,212.6,14.8,29.7
"NL41",2017,1.61,508,14.1,34.4
"NL41",2018,1.58,511.3,13.4,36
"NL41",2019,1.55,514.8,13.8,38.1
"NL42",2017,1.48,518,15.8,30.9
"NL42",2018,1.45,517.7,16.9,32.2
"NL42",2019,1.43,517.7,15.5,33.6
"NO02",2017,1.57,7.7,14.9,36.3
"NO02",2018,1.51,7.7,15.1,33.9
"NO02",2019,1.48,7.7,19.7,32.5
"NO06",2017,1.63,11.7,17.1,43
"NO06",2018,1.53,11.8,15,44.4
"NO06",2019,1.52,11.8,14.4,44.4
"NO07",2017,1.59,4.5,17.1,39.2
"NO07",2018,1.54,4.5,16.8,40.3
"NO07",2019,1.49,4.5,16.2,40.5
"PL21",2019,1.51,224,18.1,34
"PL22",2019,1.38,368.8,13,31
"PL41",2019,1.55,117.9,17.3,28.5
"PL42",2019,1.32,76.6,16.5,29.6
"PL43",2019,1.35,72.6,14.8,25.9
"PL51",2019,1.38,144.9,14.1,35
"PL52",2019,1.33,101.4,17.8,26.3
"PL61",2019,1.39,116.8,22.2,24.7
"PL62",2019,1.35,61.1,23.7,24.2
"PL63",2019,1.62,130.6,15,34.5
"PL71",2019,1.36,135.2,17.1,29.1
"PL72",2019,1.26,105.1,20.3,30.1
"PL81",2019,1.34,84,28.5,31.2
"PL82",2019,1.38,117.8,22.1,29.4
"PL84",2019,1.42,57.5,20.5,32.9
"PL91",2019,1.6,510.2,12.9,56.1
"PL92",2019,1.51,79.5,21.1,26.2
"PT11",2018,1.27667,169.3,23,21.7
"PT11",2019,1.28793,169.3,22.3,23.1
"PT15",2018,1.64886,89,23.2,22.2
"PT15",2019,1.67784,88.9,22.7,22.1
"PT16",2018,1.34243,79.5,22.8,24
"PT16",2019,1.36295,79.2,20.5,24.9
"PT17",2018,1.62063,1010.7,16.5,33.1
"PT17",2019,1.62614,1015.9,17.5,35.7
"PT18",2018,1.50266,22.8,21.1,20.1
"PT18",2019,1.54728,22.7,21.6,20.1
"PT20",2018,1.39402,105.6,36.5,15
"PT20",2019,1.35461,105.3,36.7,13.7
"PT30",2018,1.30193,318.1,31.9,20.9
"PT30",2019,1.3177,318,32,20.9
"RO11",2017,1.7,76.1,35.6,17.1
"RO11",2018,1.69,75.2,28.8,17.7
"RO11",2019,1.69,75,23.4,18.9
"RO12",2017,1.88,68.9,29.7,17.9
"RO12",2018,1.84,68.4,27.6,18.1
"RO12",2019,1.85,68.2,28.2,18.3
"RO21",2017,2.16,89.5,49.6,12.1
"RO21",2018,2.09,88,49.9,12.7
"RO21",2019,2.14,87.5,49.2,11.7
"RO22",2017,1.89,78.1,52.4,12.7
"RO22",2018,1.84,71.6,50.3,13.1
"RO22",2019,1.84,70.9,49.5,13.8
"RO31",2017,1.74,89.2,50.2,13.1
"RO31",2018,1.74,87.1,45.6,12.7
"RO31",2019,1.76,86.1,43.1,12.9
"RO32",2017,1.52,1304.6,31.8,36.1
"RO32",2018,1.53,1316.3,28.2,37.5
"RO32",2019,1.55,1321.9,21.7,40.3
"RO41",2017,1.63,68.9,52.5,16.1
"RO41",2018,1.66,67.6,47.4,14.7
"RO41",2019,1.64,66.9,42.2,15.4
"RO42",2017,1.58,56.6,31.8,16
"RO42",2018,1.6,55.9,24.2,15.7
"RO42",2019,1.58,55.7,24,16.3
"SE11",2017,1.71,350.8,14.1,51
"SE11",2018,1.66,356.6,13.6,52.3
"SE11",2019,1.61,361.8,14.5,53
"SE12",2017,1.8,43.6,16.7,39.2
"SE12",2018,1.76,44.2,16.5,40.1
"SE12",2019,1.72,44.7,18.4,42.1
"SE21",2017,1.91,25.7,14,33.8
"SE21",2018,1.88,26,16.9,36.2
"SE21",2019,1.83,26.2,16.3,37.5
"SE22",2017,1.78,107.5,21.9,44.4
"SE22",2018,1.76,108.9,26.2,45.3
"SE22",2019,1.72,110.1,24.7,45.6
"SE23",2017,1.76,68.6,18.2,40.6
"SE23",2018,1.74,69.4,16.6,42.2
"SE23",2019,1.71,70.1,18.7,42.3
"SE31",2017,1.89,13.4,20.3,33.3
"SE31",2018,1.89,13.4,19.5,33.9
"SE31",2019,1.78,13.5,18.2,33.6
"SE32",2017,1.9,5.3,16.7,33.7
"SE32",2018,1.9,5.3,18.4,36.4
"SE32",2019,1.82,5.3,23.6,37.3
"SE33",2017,1.73,3.4,15.3,38.2
"SE33",2018,1.69,3.4,17.4,39.5
"SE33",2019,1.7,3.4,16.3,39.7
"SI03",2018,1.64,88.5,17.3,27.9
"SI03",2019,1.68,89,16.3,28.5
"SI04",2018,1.58,125.7,13.3,37.7
"SI04",2019,1.55,126.9,10.8,38.7
"SK01",2017,1.66,319.8,9.9,42.7
"SK01",2018,1.7,324.2,7.3,43.8
"SK01",2019,1.65,328.8,6.8,45.5
"SK02",2017,1.34,123.3,12.9,20.7
"SK02",2018,1.35,123.1,10.7,20.6
"SK02",2019,1.4,123,10.2,22.2
"SK03",2017,1.45,82.9,17.5,20.3
"SK03",2018,1.48,82.8,18.6,21.6
"SK03",2019,1.49,82.7,19.3,23.2
"SK04",2017,1.65,103.6,20.1,20.1
"SK04",2018,1.66,103.8,20.6,23.6
"SK04",2019,1.69,103.9,19.7,23.8
